question,answer,url,decks
"How do you write ""and"" and ""or"" in JS?","and = &&, or = ||",https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Operators/Logical_Operators,CoffeeWriting
What is the skeleton structure of a for loop in JS?,for (<item> of <array>){},https://developer.mozilla.org/en-US/docs/Web/JavaScript/Guide/Loops_and_iteration#for_statement,CoffeeWriting
Name the three JavaScript declerations and how they differ from eachother:,1. const is used to make sure that a variable is kept constantly what was defined as. 2. let is used to let a variable be set towhat it was defined as knowing it will change. This is in the block scope 3. var is similar to let but was used in older versions of JSand was in the local scope. ,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Statements#Declarations,CoffeeWriting
What is negative inifinity?,a number that you get by dividing a negative number by zero.,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Number/NEGATIVE_INFINITY,CoffeeWriting
When will something return as undefined?,1. a variable when it hasnt been assigned a value 2. a method/statement when the variable doesnt have a value. 3. a function when a value isnt returned,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/undefined,CoffeeWriting
What are the web safe fonts?,fonts that most things use. It is importnat to have these in your list of fonts incase a server doesnt have your first font. ,https://websitesetup.org/web-safe-fonts-html-css/,ChocolateSmoothieShakes
What is your favorite CSS framework to use and why?,"options: bootstrap, tachyons, foundations, bulma",https://geekflare.com/best-css-frameworks/,ChocolateSmoothieShakes
"How do you differentiate between a class, id and tag selectors?","class = .<name of class> , id = # <name of id>, tag = <name of element tag>",https://developer.mozilla.org/en-US/docs/Web/CSS/ID_selectors,ChocolateSmoothieShakes
There are many layout methods for CSS. Which one is your favorite? Describe in that method how to align 9 photos in a 3 by 3 grid.,In flexbox: in the parent class display: flex: flex-direction: row; flex-wrap: wrap; ,https://css-tricks.com/snippets/css/a-guide-to-flexbox/,ChocolateSmoothieShakes
What is HTML?,"The odds are that you won’t be asked this directly, but it can’t hurt to remind yourself what HTML stands for: Hyper Text Markup Language. This means that an HTML document, written in plain text, is used to describe the structure and content of web pages, with links to other pagesand resources.",https://www.goskills.com/Development/Articles/HTML-interview-questions-answers,HTML Questions
How is an HTML document structured?,"needs to have 4 tags at minimum:  DOCTYPE, HTML, Head & Body",https://www.goskills.com/Development/Articles/HTML-interview-questions-answers,HTML Questions
What are HTML Tags?,n HTML page content is placed between the Tags which are basically responsible for the formatting of the page. Tags are written between less than symbol (<) and greater than (>) symbol.  For Example: <h1>text</h1> . In the example <h1> is the opening tag and </h1> is the closing tag.,https://www.educba.com/html-interview-questions/,HTML Questions
What are the list types available in HTML?,"The common list types available in HTML are Ordered list, Unordered list, Definition list, Menu list and Directory list",https://www.educba.com/html-interview-questions/,HTML Questions
Why is the div tag so useful in developing HTML web pages?,"The HTML div tag (ie <div>...</div>) is used to create a section of a web page. It can hold another sections or elements in it. It is also possible to hold direct text in it, but not the one that is used.",https://www.greycampus.com/blog/programming/html-five-interview-questions-and-answers,HTML Questions
ell me about a project you're particularly proud of. What did you do that worked out well?,"It’s best to ease your developer candidate into the interview gently. Their response will also give you an early indication of their ambitions and perceived view of success and way of working. For example, did they mention other team members during their answer, or just focus on their own efforts?",https://www.codementor.io/blog/web-developer-interview-questions-3ey8yl7epg,Interview Ready
Tell me about a project that disappointed you. What would you change?,Continuous self evaluation is a must for a developer. You do not want to employ someone who continues to make the same mistakes.,https://www.codementor.io/blog/web-developer-interview-questions-3ey8yl7epg,Interview Ready
Explain what is CORS? How does it work?,"(CORS) Cross-Origin Resource Sharing is a mechanism that enables many resources (e.g., JavaScript, fonts etc.) on a web page to be requested from another domain outside the domain from which the resource originated. It is a mechanism supported in HTML5 that manages XMLHttpRequest access to a domain different.",https://career.guru99.com/top-17-web-developer-interview-questions/,Interview Ready
What does API stand for?,"API is an acronym and it stands for Application Programming Interface. API is a set of routines, protocols, and tools for building Software Applications. APIs specify how one software program should interact with other software program.",https://www.softwaretestingmaterial.com/api-testing-interview-questions/,Interview Ready
What is the difference between an HTTP Request and an HTTP Response?,A client (browser) submits an HTTP request to the server; then the server returns a response to the client.,https://www.w3schools.com/tags/ref_httpmethods.asp,Interview Ready
 What is Python? What are the benefits of using Python?,"Python is a programming language with objects, modules, threads, exceptions and automatic memory management. The benefits of pythons are that it is simple and easy, portable, extensible, build-in data structure and it is an open source.",https://www.guru99.com/python-interview-questions-answers.html,All about Python
What is the difference between list and tuple?,The difference between list and tuple is that list is mutable while tuple is not. Tuple can be hashed for e.g as a key for dictionaries.,https://www.guru99.com/python-interview-questions-answers.html,All about Python
What is pass in Python?,"Pass means, no-operation Python statement, or in other words it is a place holder in compound statement, where there should be a blank left and nothing has to be written there.

",https://www.guru99.com/python-interview-questions-answers.html,All about Python
Is python a case sensitive language?,Yes! Python is a case sensitive programming language.,https://www.tutorialspoint.com/python/python_interview_questions.htm,All about Python
How can you pick a random item from a range?,"randrange ([start,] stop [,step]) − returns a randomly selected element from range(start, stop, step).",https://www.tutorialspoint.com/python/python_interview_questions.htm,All about Python
 Is Django stable or not?,"Of course, Django is stable. Most of the companies are using it.
",https://www.onlineinterviewquestions.com/django-interview-questions/page/2/,Da Jango!
What is the use of session framework in Django ,The session framework helps you in storing and retrieving arbitrary data on a per-site visitor basis. The data is stored on the server side and abstracts the receiving and sending of cookies. We can implement sessions through a piece of middleware.,https://www.onlineinterviewquestions.com/django-interview-questions/page/2/,Da Jango!
How to get current page URL in Django Template! ,You can use {{ request.path }} and {{ request.get_full_path }} to get current page URI in Django template,https://www.onlineinterviewquestions.com/django-interview-questions/page/2/,Da Jango!
"Question 12. Is Django A Content Management System (cms)?

","No, Django is not a CMS. Instead, it is a Web framework and a programming tool that makes you able to build websites",https://www.wisdomjobs.com/e-university/django-interview-questions.html,Da Jango!
What does the Django templates contain? ,"A template is a simple text file. It can create any text-based format like XML, CSV, HTML, etc. A template contains variables that get replaced with values when the template is evaluated and tags (%tag%) that control the logic of the template.",https://www.onlineinterviewquestions.com/django-interview-questions/,Da Jango!